Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 3);SMOTE (Oversampling);0.6967471143756558;0.6365320321677058;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 3);SMOTETomek (Combined);0.7040923399790137;0.6455934916562507;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 3);Tomek (Undersampling);0.7082896117523609;0.5976113017546454;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 4);None (Imbalanced);0.7082896117523609;0.640908844566064;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 4);SMOTE (Oversampling);0.7009443861490031;0.634394973172289;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 4);SMOTETomek (Combined);0.6977964323189927;0.640905879947205;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 4);Tomek (Undersampling);0.7103882476390346;0.6062694611211051;{'alpha': 0.01, 'fit_prior': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7366211962224554;0.6886027245665481;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.670514165792235;0.621229434080678;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6589716684155299;0.6074941999906504;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7387198321091291;0.6870654305635201;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.751311647429171;0.6948813383621165;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6883525708289612;0.6385271481004229;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 2);SMOTETomek (Combined);0.6789087093389297;0.6312512864840409;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 2);Tomek (Undersampling);0.7387198321091291;0.6915211629711591;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 3);None (Imbalanced);0.7439664218258132;0.6855438132825483;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 3);SMOTE (Oversampling);0.6757607555089192;0.6295736301520853;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 3);SMOTETomek (Combined);0.6841552990556139;0.6405962495399926;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 3);Tomek (Undersampling);0.7376705141657922;0.6750557063055105;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 4);None (Imbalanced);0.7481636935991606;0.6926465665973781;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 4);SMOTE (Oversampling);0.6747114375655824;0.6296359177513676;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 4);SMOTETomek (Combined);0.6935991605456453;0.6371031052290036;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;BoW;(1, 4);Tomek (Undersampling);0.7324239244491081;0.6753136904365639;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 1);None (Imbalanced);0.7345225603357818;0.688249242214462;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 1);SMOTE (Oversampling);0.7397691500524659;0.6882322680607141;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 1);SMOTETomek (Combined);0.7439664218258132;0.6943680905022255;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 1);Tomek (Undersampling);0.727177334732424;0.6701502958655188;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 2);None (Imbalanced);0.7177334732423925;0.6633877087713943;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 2);SMOTE (Oversampling);0.7355718782791185;0.6858814855561605;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 2);SMOTETomek (Combined);0.7408184679958028;0.6926430311704296;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 2);Tomek (Undersampling);0.7345225603357818;0.6787342076818567;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 3);None (Imbalanced);0.7429171038824763;0.6754344702412505;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 3);SMOTE (Oversampling);0.7166841552990556;0.667164628941007;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 3);SMOTETomek (Combined);0.7229800629590766;0.6721919165453819;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 3);Tomek (Undersampling);0.7292759706190975;0.6698504098458855;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 4);None (Imbalanced);0.7198321091290661;0.6627184335360657;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 4);SMOTE (Oversampling);0.7376705141657922;0.6898944457887719;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 4);SMOTETomek (Combined);0.7324239244491081;0.6822206771939924;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard;TF-IDF;(1, 4);Tomek (Undersampling);0.7082896117523609;0.6726003870242246;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 1);None (Imbalanced);0.7460650577124869;0.6827715270822056;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 1);SMOTE (Oversampling);0.6862539349422875;0.6255609849898764;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 1);SMOTETomek (Combined);0.6778593913955928;0.6233498523134059;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 1);Tomek (Undersampling);0.7313746065057712;0.6647537420573424;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 2);None (Imbalanced);0.7219307450157397;0.6769290968519689;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 2);SMOTE (Oversampling);0.6778593913955928;0.6316027888882244;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 2);SMOTETomek (Combined);0.6862539349422875;0.6366563425051858;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 2);Tomek (Undersampling);0.7303252885624344;0.6762913199164861;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 3);None (Imbalanced);0.7523609653725079;0.6786008572846081;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 3);SMOTE (Oversampling);0.6799580272822665;0.6286150001032973;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 3);SMOTETomek (Combined);0.6820566631689402;0.6349630007674879;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 3);Tomek (Undersampling);0.7429171038824763;0.678923461239728;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 4);None (Imbalanced);0.7366211962224554;0.6863135364705323;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 4);SMOTE (Oversampling);0.6610703043022036;0.6039140504209944;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 4);SMOTETomek (Combined);0.6820566631689402;0.6462801866268967;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;BoW;(1, 4);Tomek (Undersampling);0.7439664218258132;0.6898569466047207;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 1);None (Imbalanced);0.7261280167890871;0.6125216082519372;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 1);SMOTE (Oversampling);0.7198321091290661;0.6653577356219622;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 1);SMOTETomek (Combined);0.7366211962224554;0.6842569749993642;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 1);Tomek (Undersampling);0.7198321091290661;0.6584695444342342;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 2);None (Imbalanced);0.7187827911857293;0.6650669268856775;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 2);SMOTE (Oversampling);0.7156348373557188;0.6721243411363863;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 2);SMOTETomek (Combined);0.7492130115424974;0.7057266959821217;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 2);Tomek (Undersampling);0.7250786988457503;0.6489500843730928;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 3);None (Imbalanced);0.720881427072403;0.6613952827507815;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 3);SMOTE (Oversampling);0.7072402938090241;0.6590712031208131;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 3);SMOTETomek (Combined);0.70199370409234;0.6440987900148788;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 3);Tomek (Undersampling);0.7397691500524659;0.6749749651765978;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 4);None (Imbalanced);0.7229800629590766;0.6652192109655993;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 4);SMOTE (Oversampling);0.7219307450157397;0.6612286719680639;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
