Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters
FFNN;prep_full;TF-IDF;(1, 4);SMOTETomek (Combined);0.7376705141657922;0.6907767315304733;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_full;TF-IDF;(1, 4);Tomek (Undersampling);0.7282266526757608;0.6709853686775388;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 1);None (Imbalanced);0.757607555089192;0.7059118384489166;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 1);SMOTE (Oversampling);0.6778593913955928;0.6297028241220007;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 1);SMOTETomek (Combined);0.70199370409234;0.6444458792973075;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 1);Tomek (Undersampling);0.7544596012591815;0.6990833521655441;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 2);None (Imbalanced);0.7523609653725079;0.6960794356250893;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 2);SMOTE (Oversampling);0.7093389296956978;0.660185192650343;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 2);SMOTETomek (Combined);0.6904512067156349;0.6462909005031382;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 2);Tomek (Undersampling);0.7544596012591815;0.6960390472229164;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 3);None (Imbalanced);0.74501573976915;0.6926968053318028;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 3);SMOTE (Oversampling);0.6883525708289612;0.6363800650814737;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 3);SMOTETomek (Combined);0.7093389296956978;0.6571120080254018;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 3);Tomek (Undersampling);0.7376705141657922;0.6881836675442831;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 4);None (Imbalanced);0.7366211962224554;0.6999083243072654;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 4);SMOTE (Oversampling);0.6873032528856243;0.6320880164445538;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 4);SMOTETomek (Combined);0.6935991605456453;0.6486176329526075;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;BoW;(1, 4);Tomek (Undersampling);0.7460650577124869;0.6755028776840857;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 1);None (Imbalanced);0.74501573976915;0.6875794240041064;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 1);SMOTE (Oversampling);0.7219307450157397;0.6674019073274396;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 1);SMOTETomek (Combined);0.7324239244491081;0.6840456006540007;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 1);Tomek (Undersampling);0.7534102833158447;0.6945333013338463;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 2);None (Imbalanced);0.7607555089192025;0.6987084335472974;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 2);SMOTE (Oversampling);0.7429171038824763;0.6994541936051369;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 2);SMOTETomek (Combined);0.7492130115424974;0.7009010504529884;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 2);Tomek (Undersampling);0.7366211962224554;0.6779250313399366;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 3);None (Imbalanced);0.7156348373557188;0.6681567083060314;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 3);SMOTE (Oversampling);0.7324239244491081;0.6818294051627385;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 3);SMOTETomek (Combined);0.7324239244491081;0.6681696713008164;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 3);Tomek (Undersampling);0.7345225603357818;0.6733702878522227;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 4);None (Imbalanced);0.7387198321091291;0.6867450329847592;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 4);SMOTE (Oversampling);0.7429171038824763;0.695553964032929;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 4);SMOTETomek (Combined);0.7376705141657922;0.6839299867574447;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_masked;TF-IDF;(1, 4);Tomek (Undersampling);0.7387198321091291;0.672515110678494;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 1);None (Imbalanced);0.7408184679958028;0.6866611507573026;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 1);SMOTE (Oversampling);0.6862539349422875;0.6352291820533001;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 1);SMOTETomek (Combined);0.6904512067156349;0.6418354959581175;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 1);Tomek (Undersampling);0.7492130115424974;0.6981358916162175;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 2);None (Imbalanced);0.74501573976915;0.6852603221727417;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 2);SMOTE (Oversampling);0.6862539349422875;0.62586123903907;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 2);SMOTETomek (Combined);0.6862539349422875;0.6354107507430639;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 2);Tomek (Undersampling);0.7387198321091291;0.6915211629711591;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 3);None (Imbalanced);0.7334732423924449;0.6835341692871392;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 3);SMOTE (Oversampling);0.6935991605456453;0.6384709828581221;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 3);SMOTETomek (Combined);0.6904512067156349;0.6458138353007477;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 3);Tomek (Undersampling);0.7429171038824763;0.6855087585983974;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 4);None (Imbalanced);0.7544596012591815;0.6966822199376487;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 4);SMOTE (Oversampling);0.6747114375655824;0.6296359177513676;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 4);SMOTETomek (Combined);0.70199370409234;0.6337558648801821;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;BoW;(1, 4);Tomek (Undersampling);0.7324239244491081;0.6841674040840883;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 1);None (Imbalanced);0.7292759706190975;0.6725907266911664;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 1);SMOTE (Oversampling);0.7261280167890871;0.68745879551438;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 1);SMOTETomek (Combined);0.7376705141657922;0.696426688907434;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 1);Tomek (Undersampling);0.727177334732424;0.6701502958655188;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 2);None (Imbalanced);0.7324239244491081;0.6680723917143814;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 2);SMOTE (Oversampling);0.7345225603357818;0.6808023278118105;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 2);SMOTETomek (Combined);0.7544596012591815;0.7043170462699458;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 2);Tomek (Undersampling);0.7114375655823715;0.6608987507138657;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 3);None (Imbalanced);0.7397691500524659;0.676323566749351;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 3);SMOTE (Oversampling);0.7103882476390346;0.6648588050992835;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 3);SMOTETomek (Combined);0.7334732423924449;0.6945549134026553;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 3);Tomek (Undersampling);0.7166841552990556;0.6716341639772314;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 4);None (Imbalanced);0.7198321091290661;0.6694779525211318;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 4);SMOTE (Oversampling);0.7376705141657922;0.6898944457887719;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 4);SMOTETomek (Combined);0.7397691500524659;0.6879028226607007;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
FFNN;prep_standard_numbers;TF-IDF;(1, 4);Tomek (Undersampling);0.7397691500524659;0.6819846494606483;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 42}
